[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 15 LIMIT 21; args=(15,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 15); args=(u'1', 15)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 15) LIMIT 21; args=(u'1', 15)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 3 LIMIT 21; args=(3,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 16 LIMIT 21; args=(16,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 16); args=(u'1', 16)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 1 LIMIT 21; args=(1,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.006) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 17 LIMIT 21; args=(17,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.002) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 17); args=(u'1', 17)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 1 LIMIT 21; args=(1,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.001) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 18 LIMIT 21; args=(18,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 18); args=(u'1', 18)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 3 LIMIT 21; args=(3,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 19 LIMIT 21; args=(19,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 19); args=(u'1', 19)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 1 LIMIT 21; args=(1,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.001) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 20 LIMIT 21; args=(20,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 20); args=(u'1', 20)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 1 LIMIT 21; args=(1,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 21 LIMIT 21; args=(21,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.006) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 21); args=(u'1', 21)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 3 LIMIT 21; args=(3,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.001) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 22 LIMIT 21; args=(22,)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.002) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 22); args=(u'1', 22)
[11/Dec/2015 15:31:55] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 1 LIMIT 21; args=(1,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 87 LIMIT 21; args=(87,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.002) SELECT COUNT(*) FROM `base` WHERE (`base`.`status` = '1' AND `base`.`campania` = 80); args=(u'1', 80)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.004) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 87 LIMIT 21; args=(87,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.003) SELECT `campania`.`id`, `campania`.`fecha cargada`, `campania`.`usuario`, `campania`.`estado`, `campania`.`nombre`, `campania`.`troncal`, `campania`.`canales`, `campania`.`timbrados`, `campania`.`htinicio`, `campania`.`htfin`, `campania`.`mxllamada`, `campania`.`llamadaxhora`, `campania`.`hombreobjetivo`, `campania`.`archivo`, `campania`.`supervisor`, `campania`.`cartera`, `campania`.`tgestion` FROM `campania` WHERE `campania`.`id` = 80 LIMIT 21; args=(80,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 87 LIMIT 21; args=(87,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `agentescampanias`.`id`, `agentes`.`wordstipeo`, `agentescampanias`.`agente`, `auth_user`.`username`, `auth_user`.`first_name`, `agentes`.`fono`, `agentes`.`anexo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado` FROM `agentescampanias` INNER JOIN `agentes` ON ( `agentescampanias`.`agente` = `agentes`.`id` ) LEFT OUTER JOIN `auth_user` ON ( `agentes`.`user` = `auth_user`.`id` ) WHERE `agentescampanias`.`campania` = 80; args=(80,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 14 LIMIT 21; args=(14,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.011) SELECT COUNT(*) FROM `base` WHERE `base`.`campania` = 80; args=(80,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.002) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 14); args=(u'1', 14)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 14) LIMIT 21; args=(u'1', 14)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.001) SELECT COUNT(*) FROM `base` WHERE (`base`.`status` = '1' AND `base`.`campania` = 80); args=(u'1', 80)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT COUNT(*) FROM `base` WHERE (`base`.`status` = '2' AND `base`.`campania` = 80); args=(u'2', 80)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.004) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 1 LIMIT 21; args=(1,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 15 LIMIT 21; args=(15,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.007) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 15); args=(u'1', 15)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 15) LIMIT 21; args=(u'1', 15)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.020) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 3 LIMIT 21; args=(3,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `agentes`.`id`, `agentes`.`anexo`, `agentes`.`fono`, `agentes`.`tiempo`, `agentes`.`atendidas`, `agentes`.`contactadas`, `agentes`.`estado`, `agentes`.`user`, `agentes`.`supervisor`, `agentes`.`disponible`, `agentes`.`calificacion`, `agentes`.`tiniciogestion`, `agentes`.`tfingestion`, `agentes`.`tiniciollamada`, `agentes`.`tfinllamada`, `agentes`.`tinicioespera`, `agentes`.`tfinespera`, `agentes`.`tiniciotipeo`, `agentes`.`wordstipeo` FROM `agentes` WHERE `agentes`.`id` = 16 LIMIT 21; args=(16,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 87 LIMIT 21; args=(87,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.005) SELECT `base`.`id`, `base`.`telefono`, `base`.`orden`, `base`.`cliente`, `base`.`id_cliente`, `base`.`status_a`, `base`.`status_b`, `base`.`status_c`, `base`.`status_d`, `base`.`status_e`, `base`.`status_f`, `base`.`status_g`, `base`.`status_h`, `base`.`status`, `base`.`campania`, `base`.`resultado`, `base`.`agente`, `base`.`duracion`, `base`.`detalle`, `base`.`monto`, `base`.`fecha`, `base`.`tiniciogestion`, `base`.`tfingestion`, `base`.`tiniciollamada`, `base`.`tfinllamada` FROM `base` WHERE (`base`.`status` = '1' AND `base`.`agente` = 16); args=(u'1', 16)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT `estado`.`id`, `estado`.`nombre` FROM `estado` WHERE `estado`.`id` = 1 LIMIT 21; args=(1,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT COUNT(*) FROM `base` WHERE `base`.`campania` = 80; args=(80,)
[11/Dec/2015 15:31:56] DEBUG [django.db.backends:91] (0.000) SELECT COUNT(*) FROM `base` WHERE (`base`.`status` = '1' AND `base`.`campania` = 80); args=(u'1', 80)
